secretaria,secretaria_codigo,unidad,codigo_sigep
SECRETARIA DEPARTAMENTAL ADMINISTRATIVA FINANCIERA,SDAF,Unidad Administrativa,ADM-01
SECRETARIA DEPARTAMENTAL ADMINISTRATIVA FINANCIERA,SDAF,Unidad Financiera,FIN-01
SECRETARIA DEPARTAMENTAL ADMINISTRATIVA FINANCIERA,SDAF,Sistemas,SIS-01
SECRETARIA DEPARTAMENTAL ADMINISTRATIVA FINANCIERA,SDAF,Contrataciones,CON-01
SECRETARIA DEPARTAMENTAL ADMINISTRATIVA FINANCIERA,SDAF,Almacenes,ALM-01
SECRETARIA DEPARTAMENTAL DE OBRAS PUBLICAS Y SERVICIOS,SDOPS,Electrificacion Rural,ER-01
SECRETARIA DEPARTAMENTAL DE OBRAS PUBLICAS Y SERVICIOS,SDOPS,Obras Civiles,OC-01
SECRETARIA DEPARTAMENTAL DE OBRAS PUBLICAS Y SERVICIOS,SDOPS,Infraestructura Vial,IV-01
SECRETARIA DEPARTAMENTAL DE MINERIA Y METALURGIA,SDMM,Unidad Minera Metalurgica,MIN-01
SECRETARIA DEPARTAMENTAL DE MINERIA Y METALURGIA,SDMM,Regalias Mineras,REG-01
SECRETARIA DEPARTAMENTAL DE PLANIFICACION DEL DESARROLLO,SDPD,Area Planificacion y Proyectos,PLAN-01
SECRETARIA DEPARTAMENTAL DE PLANIFICACION DEL DESARROLLO,SDPD,Area Desarrollo Organizacional,PLAN-02
